EDR3,l, b, d, ed, rv, erv, pml, epml, pmb, epmb, pmlpmbcorr, pmem, type
1048615341902004608,149.3581,47.8225,18.2,0.949,56.5,4.979,2.6791,0.0547,0.4809,0.0562,-0.0174,0.0,BHB
1054574931146580224,139.7428,50.7463,23.9,1.243,-216.7,6.202,1.9126,0.0853,1.1819,0.0844,0.079,0.0,BHB
1054642795925280256,139.7418,50.4345,7.4,0.398,-206.7,2.845,5.1797,0.0397,3.5658,0.0407,0.3137,0.0,BHB
1054880634034438912,138.9949,50.0427,23.1,1.161,-51.9,5.978,0.7077,0.0904,2.5852,0.0881,0.1101,0.0,BHB
840129829693536896,143.8421,61.4302,18.7,0.981,-211.8,5.357,0.9283,0.05,2.3329,0.055,0.3455,0.0,BHB
1612281833306771968,103.517,53.395,22.5,1.259,-142.0,5.923,-0.0644,0.0947,1.6739,0.0942,0.0791,0.0,BHB
1618014927451977728,101.8067,53.2444,8.2,0.44,-67.101,1.829,4.3124,0.0245,4.5896,0.0271,0.0912,0.0,BHB
3816149434011190272,247.5022,55.9031,8.0,0.435,102.999,2.04,-2.0092,0.0291,-8.7255,0.0288,0.2521,0.018,BHB
792415629253280512,142.0133,62.0435,11.2,0.546,49.699,2.721,4.8445,0.0285,0.734,0.029,0.3464,0.0,BHB
3601203290261447680,281.827,57.6594,24.0,1.261,60.8,8.706,-0.7577,0.1806,-2.1408,0.1294,0.1234,0.0,BHB
3598220487014004736,282.5999,57.7869,21.0,1.112,189.2,5.89,-0.9257,0.1336,-1.6382,0.0915,-0.0104,0.0,BHB
3598073809587335168,285.384,58.219,8.0,0.429,-59.399,2.146,2.5064,0.0437,-6.676,0.0363,-0.1468,0.0,BHB
3694444388854522368,284.3325,59.0362,8.1,0.427,18.601,2.06,2.9213,0.0431,-5.7976,0.032,-0.149,0.0,BHB
3697736945141704192,281.8899,59.2819,10.3,0.507,66.5,2.75,-0.4706,0.0517,-4.0812,0.0455,-0.0103,0.0,BHB
3601648424967929344,281.4315,58.8861,16.5,0.884,13.9,3.671,-0.5841,0.1088,-2.6485,0.0861,-0.067,0.0,BHB
1666856196030444032,107.0013,51.5842,13.8,0.764,67.9,2.701,1.7749,0.0373,2.5703,0.0439,-0.0744,0.0,BHB
1666589461381357056,104.9062,51.4323,13.4,0.678,-28.0,2.322,2.1794,0.0452,2.2417,0.0431,0.1525,0.0,BHB
838427820053445248,149.9198,61.5704,10.5,0.551,42.301,2.235,1.1453,0.0336,3.4246,0.036,0.1713,0.0,BHB
