EDR3,l, b, d, ed, rv, erv, pml, epml, pmb, epmb, pmlpmbcorr, pmem, type, sgrb, r
3950184058965944320,251.509176,77.560758,35.87,6.975,-43.7,1.933,-0.1742,0.1052,-1.6268,0.1051,0.2495,0.952,KGiant,-1.92,37.39645705143737
3950985461207726080,250.116965,77.851296,34.62,5.429,-60.7,2.126,-0.3935,0.1049,-2.274,0.123,0.3018,0.987,KGiant,-2.3,36.19817398709498
3951232889979278848,245.839166,77.307156,59.64,3.995,164.5,2.589,-0.2249,0.0676,-1.1684,0.0844,0.4841,1.0,KGiant,-2.2,60.97574353790203
3951119571562300416,246.330218,76.715568,32.03,5.606,-68.4,3.515,-0.1317,0.0912,-2.1369,0.0866,0.2775,0.977,KGiant,-1.62,33.84420334414743
3999237017892458496,243.018894,76.544078,32.59,3.533,-47.7,1.59,-0.047,0.0585,-1.8658,0.0647,0.3688,0.997,KGiant,-1.83,34.50098694240499
3951303602320785408,243.869216,77.28591,31.75,3.375,-44.8,1.056,-0.1796,0.0691,-1.8592,0.0729,0.2426,0.998,KGiant,-2.39,33.61275501948628
3951642591203760128,246.260704,78.319542,34.94,7.57,-49.9,2.395,-0.3331,0.1169,-1.7823,0.1329,0.3335,0.986,KGiant,-3.06,36.597478055188446
3695740678703829504,294.221121,62.103282,26.49,5.59,-83.8,2.267,-1.7592,0.12,-1.2348,0.1055,-0.4854,0.977,KGiant,12.72,26.220068649795714
3695718138715331072,292.554091,61.720831,39.06,6.247,-46.4,2.253,-1.1871,0.1456,-0.8116,0.114,-0.2482,0.98,KGiant,13.35,38.456897950822814
3697209523159493632,292.595188,63.352965,40.72,9.948,50.2,6.436,-1.2036,0.209,-0.7025,0.1607,-0.1918,0.916,KGiant,11.79,40.15363495376228
3683349938572203008,297.078269,60.985344,45.39,3.001,64.5,0.871,-0.9703,0.0719,-0.7158,0.075,-0.5383,0.987,KGiant,13.25,44.32602847086574
3941534162334449664,318.557378,81.764104,50.58,11.158,-35.3,3.381,-1.4339,0.2078,0.0428,0.2643,-0.3209,0.911,KGiant,-7.58,50.40124006410954
3941754103315597312,324.570564,82.68243,37.0,5.015,-65.7,1.587,-1.5016,0.0878,-0.1273,0.0961,-0.0837,0.923,KGiant,-8.8,37.10036927039945
3685833426101670400,313.277351,61.227118,51.25,4.24,38.1,1.724,-1.3008,0.0737,-0.4317,0.0567,-0.5344,0.999,KGiant,9.01,49.16498957591673
3688198509972802560,316.638136,63.113238,49.12,3.437,48.5,1.06,-1.1309,0.0715,-0.4039,0.0573,-0.6354,0.992,KGiant,6.55,47.07579632889921
3725141443535218688,340.795419,67.772771,38.74,5.927,-11.9,2.142,-1.4371,0.0826,0.2001,0.0871,-0.3015,0.912,KGiant,-4.16,36.63353791268324
3725667044453023232,336.348412,68.788147,35.36,5.313,-39.9,2.5,-1.5512,0.1415,0.2184,0.1067,-0.4616,0.958,KGiant,-3.18,33.56118889431661
3724886670370794496,335.930465,68.384659,42.74,4.348,14.2,1.199,-1.434,0.0749,0.0646,0.0587,-0.4198,0.99,KGiant,-2.85,40.73131964471566
3725842730090867712,337.264293,69.281928,41.22,5.259,-141.4,2.583,-1.7434,0.1003,-0.0075,0.0826,-0.3906,0.987,KGiant,-3.71,39.32872359993393
3726264221001385984,339.524714,69.481795,45.21,4.377,-10.6,1.096,-1.2924,0.0735,0.2203,0.0637,-0.338,0.996,KGiant,-4.51,43.22974670293593
1172619465872571904,359.21472,59.390127,39.83,4.382,64.2,2.692,-1.7833,0.0613,1.5893,0.066,-0.0586,0.981,KGiant,-9.31,36.342466894805035
3650808517558470656,354.276292,49.481449,26.54,3.894,-153.2,1.868,-2.3958,0.0658,1.5339,0.0756,-0.1401,0.991,KGiant,-4.22,22.133732175121303
3650442105308730880,353.815072,49.636595,49.11,6.159,76.0,2.039,-1.2723,0.1262,0.5748,0.1212,-0.1544,0.986,KGiant,-3.98,44.250308473501065
3650390428262156800,353.329205,49.37272,55.48,2.856,10.7,1.334,-1.1299,0.0482,0.311,0.0531,-0.1738,0.998,KGiant,-3.6,50.53786699099993
3651118854715619328,354.69118,50.281358,60.1,2.847,38.8,1.031,-0.9163,0.0624,0.2784,0.0589,-0.0432,0.992,KGiant,-4.7,55.217693722211905
3651456542224081920,352.413493,51.108245,52.09,3.163,64.0,0.86,-1.1718,0.0526,0.3256,0.0552,-0.1597,0.993,KGiant,-3.55,47.39579833698342
3650507766768728064,351.881614,50.285894,60.74,5.907,69.1,1.198,-1.1447,0.0968,0.3282,0.1056,-0.1762,0.984,KGiant,-2.98,55.88208389099319
3651310513336114176,351.592135,50.933689,50.95,4.242,53.3,1.389,-1.09,0.0972,0.3575,0.0988,-0.1866,0.985,KGiant,-3.0,46.25829331049731
3651718187336211456,352.463451,51.681248,61.74,6.206,-23.2,2.77,-1.0576,0.0889,0.2148,0.087,-0.0319,0.966,KGiant,-3.74,57.040895855517554
3734404317899427840,308.297142,72.143424,31.63,2.928,-53.2,1.794,-1.8397,0.0557,-0.7149,0.0411,-0.2576,0.998,KGiant,1.36,31.17011068315286
3733929535034479616,306.271677,71.406017,42.29,2.953,123.5,3.851,-1.5021,0.0585,-0.2463,0.0408,-0.1618,0.999,KGiant,2.32,41.55804855861256
3735183832987575808,308.068851,72.570441,31.95,7.437,-42.3,4.571,-1.7349,0.2126,-0.4501,0.1915,-0.3266,0.973,KGiant,1.04,31.51699541517243
3733903318554195456,304.574891,71.593988,35.94,7.585,-18.7,3.041,-1.6192,0.2137,-0.5999,0.1796,-0.3693,0.98,KGiant,2.43,35.43377061505027
3734807460709480448,305.970097,72.365623,43.67,3.215,-5.4,0.924,-1.363,0.0608,-0.6515,0.055,-0.2661,1.0,KGiant,1.55,43.008225957367735
3734821960518977024,304.049413,72.117323,49.02,6.099,-14.1,1.117,-1.3637,0.1091,-0.5922,0.0995,-0.456,0.999,KGiant,2.06,48.31707979586515
3734667994531505152,303.165596,71.738975,39.31,4.092,-12.5,0.958,-1.41,0.083,-0.7389,0.0688,-0.2933,0.999,KGiant,2.52,38.78787568300177
3734895765237496320,300.868573,71.946038,37.31,3.787,-20.2,0.972,-1.3317,0.0863,-0.6948,0.0652,-0.4746,0.997,KGiant,2.67,36.936070446109994
3735007400027439616,300.915266,72.585666,30.44,5.393,-32.4,2.036,-1.4568,0.1649,-0.714,0.1308,-0.3138,0.902,KGiant,2.09,30.320318270097363
3927187189156817920,300.096106,72.996429,29.92,3.906,-119.2,1.268,-1.8714,0.0749,-0.9445,0.0706,-0.5136,0.999,KGiant,1.83,29.880471883824057
3927345553189647360,301.908514,73.785004,38.13,3.66,-11.8,0.909,-1.2539,0.0562,-0.7306,0.0456,-0.3932,0.993,KGiant,0.89,37.83305565243178
3927187223515765760,300.161307,73.008568,38.63,4.912,3.6,1.567,-1.2256,0.0956,-0.7847,0.0823,-0.3684,0.987,KGiant,1.81,38.32695396193128
